,title,season,rank,critic_meta_score,review_content,review_source,author,review_date,summary,meta_score,user_score,release_date,link,critics_reviews_link,reviews_new,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
0,Rectify,4.0,1,100.0,"It allows us to know and care for these characters even when they try to hold us at arm’s length, by embracing their truths in quiet moments that connect us to their loneliness, uncertainty, and ultimately their hope.",Collider,Allison Keene,27-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"It allows us to know and care for these characters even when they try to hold us at arm’s length, by embracing their truths in quiet moments that connect us to their loneliness, uncertainty, and ultimately their hope.",0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666
1,Rectify,4.0,1,100.0,"Rectify, a drama entering its final season on SundanceTV on Wednesday, is exceptional in being concerned with what comes after prison, for ex-convicts, for their families, for an entire community.",The New York Times,James Poniewozik,25-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"Rectify, a drama entering its final season on SundanceTV on Wednesday, is exceptional in being concerned with what comes after prison, for ex-convicts, for their families, for an entire community.",0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,
2,Rectify,4.0,1,100.0,"No other series so poignantly probes the human condition and our concept of reality, identity, what we know and what is true with such alluring complexity. In a just world, more people would watch Rectify. That it existed at all, and leaves four tremendous seasons to savor and contemplate, is its own lovely blessing.",Salon,Melanie McFarland,26-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"No other series so poignantly probes the human condition and our concept of reality, identity, what we know and what is true with such alluring complexity. In a just world, more people would watch Rectify. That it existed at all, and leaves four tremendous seasons to savor and contemplate, is its own lovely blessing.",0.041666666666666664,0.0,0.0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.16666666666666666
3,Rectify,4.0,1,100.0,"None of these characters is particularly happy or remotely satisfied with his or her station in life, and in a lesser show, they’d be depressing downers. But thanks to the writing of show creator Ray McKinnon, these are people who strike you as folks you know, or whom you may be yourself.",Yahoo TV,Ken Tucker,26-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"None of these characters is particularly happy or remotely satisfied with his or her station in life, and in a lesser show, they’d be depressing downers. But thanks to the writing of show creator Ray McKinnon, these are people who strike you as folks you know, or whom you may be yourself.",0.0,0.06666666666666667,0.0,0.2,0.0,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
4,Rectify,4.0,1,100.0,Rectify is the best series I have ever seen on television. Not may be. Not might be. It just is.,The Daily Beast,Malcolm Jones,26-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,Rectify is the best series I have ever seen on television. Not may be. Not might be. It just is.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,Rectify,4.0,1,100.0,"I’ve seen a few episodes of Rectify’s fourth season, and they’re as sweet and soulful as the show has always been. They contain passages of stark beauty, and moments of dreamlike simplicity. And above all else, they’re guided by McKinnon’s unfailing empathy for each and every character on screen.",Vox.com,Emily VanDerWerff,26-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"I’ve seen a few episodes of Rectify’s fourth season, and they’re as sweet and soulful as the show has always been. They contain passages of stark beauty, and moments of dreamlike simplicity. And above all else, they’re guided by McKinnon’s unfailing empathy for each and every character on screen.",0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091
6,Rectify,4.0,1,100.0,"Young's performance continues to be extraordinary, with a monologue late in the premiere all but guaranteed to raise the dust level in your home as you watch it. But it's a measure of the work McKinnon and the supporting actors have done in demonstrating how the smaller conflicts in the lives of Amantha or Ted Jr. or Tawney can be just as powerful (to them and to us) as Daniel's larger existential crisis.",Hitfix,Alan Sepinwall,25-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"Young's performance continues to be extraordinary, with a monologue late in the premiere all but guaranteed to raise the dust level in your home as you watch it. But it's a measure of the work McKinnon and the supporting actors have done in demonstrating how the smaller conflicts in the lives of Amantha or Ted Jr. or Tawney can be just as powerful (to them and to us) as Daniel's larger existential crisis.",0.09090909090909091,0.045454545454545456,0.0,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091
7,Rectify,4.0,1,100.0,"Season 4, which marks the all-too-soon end of“Rectify’s distinguished run, finds a fresh thematic connection for Daniel while simultaneously setting him free from past complications. More importantly, it gives Daniel an impeccably astute voice rarely heard before and never this magnified.",IndieWire,Ben Travers,24-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"Season 4, which marks the all-too-soon end of“Rectify’s distinguished run, finds a fresh thematic connection for Daniel while simultaneously setting him free from past complications. More importantly, it gives Daniel an impeccably astute voice rarely heard before and never this magnified.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
8,Rectify,4.0,1,100.0,Young and Smith-Cameron unearth the reserves of pain and affection that have made Rectify one of the best shows on television.,Slant Magazine,Matt Brennan,24-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,Young and Smith-Cameron unearth the reserves of pain and affection that have made Rectify one of the best shows on television.,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,
9,Rectify,4.0,1,91.0,"In its final season, with but eight episodes total, Rectify continues to take risks.",Boston Herald,Mark A. Perigard,9-Nov-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"In its final season, with but eight episodes total, Rectify continues to take risks.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Rectify,4.0,1,100.0,"One of TV's truest, finest and deepest dives into pure character drama. [24 Oct-6 Nov 2016, p.17]",TV Guide Magazine,Matt Roush,21-Oct-16,Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.,99,8.7,26-Oct-16,https://www.metacritic.com/tv/rectify/season-4,https://www.metacritic.com/tv/rectify/season-4/critic-reviews,"One of TV's truest, finest and deepest dives into pure character drama. [24 Oct-6 Nov 2016, p.17]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,The Larry Sanders Show,4.0,2,100.0,"In addition to being riotously and savagely funny, propelled by more great characters than the average night of network programming, it gets you thinking about what's hiding behind those curtains that Johnny walked through on so many nights. [19 Jul 1995]",Chicago Tribune,Steve Johnson,17-Jul-13,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",99,5.8,19-Jul-95,https://www.metacritic.com/tv/the-larry-sanders-show/season-4,https://www.metacritic.com/tv/the-larry-sanders-show/season-4/critic-reviews,"In addition to being riotously and savagely funny, propelled by more great characters than the average night of network programming, it gets you thinking about what's hiding behind those curtains that Johnny walked through on so many nights. [19 Jul 1995]",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
12,The Larry Sanders Show,4.0,2,100.0,The sharpness of the writing and the crispness of the acting demonstrate that cable's best situation comedy has lost none of its bite as it begins its fourth season. [19 Jul 1995],Philadelphia Inquirer,Lee Winfrey,17-Jul-13,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",99,5.8,19-Jul-95,https://www.metacritic.com/tv/the-larry-sanders-show/season-4,https://www.metacritic.com/tv/the-larry-sanders-show/season-4/critic-reviews,The sharpness of the writing and the crispness of the acting demonstrate that cable's best situation comedy has lost none of its bite as it begins its fourth season. [19 Jul 1995],0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,
13,The Larry Sanders Show,4.0,2,100.0,Brilliant. [18 Jul 1995],USA Today,Matt Roush,17-Jul-13,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",99,5.8,19-Jul-95,https://www.metacritic.com/tv/the-larry-sanders-show/season-4,https://www.metacritic.com/tv/the-larry-sanders-show/season-4/critic-reviews,Brilliant. [18 Jul 1995],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
